##, Gene,  % In, % In, % Ratio, Up, Down, Up
1, Luc, 6.350699E-5, 1.8962799E-5, 0.2985939, , Luc, , Luc, 
69, AARS, 5.664137E-5, 1.6140052E-4, 2.8495164, , , , , 
70, AARS2, 1.6591915E-5, 1.327396E-5, 0.80002576, , , , , 
71, AARS2, 7.6237E-5, 1.8784008E-4, 2.4638968, , , , , 
72, AARS2, 2.5316975E-5, 4.8761484E-7, 0.019260392, , , , , 
73, AARS2, 4.7487207E-5, 4.7677895E-5, 1.0040156, , , , , 
74, AARS2, 2.5746076E-5, 2.6222844E-5, 1.0185181, , , , , 
75, AASDH, 2.317147E-5, 4.285593E-5, 1.8495128, , , , , 
76, AASDH, 1.880894E-5, 1.29488835E-5, 0.688443, , , , , 
77, AASDH, 7.866857E-7, 7.3684023E-6, 9.366386, , , , , 
78, AASDH, 3.8619114E-6, 1.7662494E-5, 4.573511, , , , , 
79, AASDH, 4.4125914E-5, 1.5712034E-6, 0.03560727, , , , , 
80, AASDHPPT, 4.5484736E-5, 4.1068008E-5, 0.90289646, , , , , 
81, AASDHPPT, 6.708283E-5, 4.4730536E-4, 6.667956, , , , , 
82, AASDHPPT, 3.690271E-5, 4.2043237E-5, 1.1392994, , , , , 
83, AASDHPPT, 1.3159106E-5, 1.3761574E-5, 1.0457834, , , , , 
84, AASDHPPT, 1.8322625E-4, 2.6385382E-5, 0.14400437, , , , , 
85, AASDHPPT, 2.109748E-5, 6.989146E-6, 0.33127874, , , , , 
86, AASS, 2.9822539E-5, 2.7198073E-5, 0.91199726, , , , , 
87, AASS, 1.6091299E-5, 3.1694966E-5, 1.9696959, , , , , 
88, AASS, 1.0534436E-4, 1.0413286E-4, 0.9884996, , , , , 
89, AASS, 3.575844E-6, 3.2507657E-7, 0.09090905, , , , , 
90, AASS, 2.7390965E-5, 2.7306432E-5, 0.99691385, , , , , 
91, AASS, 1.351669E-5, 1.1215142E-5, 0.82972544, , , , , 
92, ABAT, 3.025164E-5, 9.210503E-7, 0.030446293, , , , , 
93, ABAT, 9.282891E-5, 3.8467394E-4, 4.1439023, , , , , 
94, ABAT, 4.2910128E-7, 2.2376104E-5, 52.14644, , , , , 
95, ABAT, 5.9931146E-5, 1.4769312E-4, 2.46438, , , , , 
96, ABAT, 5.0562434E-5, 2.9202713E-5, 0.5775575, , , , , 
97, ABCA1, 5.406676E-5, 3.196586E-5, 0.59122944, , , , , 
98, ABCA1, 4.0693103E-5, 1.0564989E-5, 0.25962603, , , , , 
99, ABCA1, 7.866857E-7, 5.4179427E-6, 6.8870487, , , , , 
100, ABCA1, 4.219496E-6, 1.8204288E-5, 4.3143272, , , , , 
101, ABCA1, 5.227884E-5, 2.3134617E-5, 0.44252354, , , , , 
102, ABCA1, 7.909767E-5, 1.7933391E-5, 0.22672464, , , , , 
103, ABCA10, 2.5316975E-5, 1.2222878E-4, 4.827938, , , , , 
104, ABCA10, 1.3373657E-5, 8.7662316E-5, 6.55485, , , , , 
105, ABCA10, 1.7164051E-5, 6.555711E-6, 0.38194427, , , , , 
106, ABCA10, 3.8333048E-5, 2.8119122E-5, 0.7335478, , , , , 
107, ABCA10, 4.948968E-5, 1.0066538E-4, 2.034068, , , , , 
108, ABCA12, 2.610366E-5, 5.114538E-5, 1.9593183, , , , , 
109, ABCA12, 1.2873038E-6, 3.413304E-5, 26.51514, , , , , 
110, ABCA12, 4.763024E-5, 3.4566474E-5, 0.72572535, , , , , 
111, ABCA12, 1.8022254E-5, 1.1540218E-5, 0.64033157, , , , , 
112, ABCA12, 1.4303376E-7, 2.1671771E-7, 1.5151508, , , , , 
113, ABCA12, 2.5102425E-5, 1.0727526E-5, 0.4273502, , , , , 
114, ABCA13, 8.160076E-5, 2.0642363E-5, 0.25296777, , , , , 
115, ABCA13, 5.707047E-5, 1.251003E-4, 2.192032, , , , , 
116, ABCA13, 3.0537707E-5, 1.0835886E-6, 0.035483625, , , , , 
117, ABCA13, 5.1063053E-5, 5.7484373E-5, 1.1257528, , , , , 
118, ABCA13, 7.4091484E-5, 3.9225906E-5, 0.5294253, , , , , 
119, ABCA13, 1.7378601E-5, 1.235291E-5, 0.7108115, , , , , 
120, ABCA2, 1.237242E-5, 1.3599037E-5, 1.0991412, , , , , 
121, ABCA2, 2.3242987E-5, 4.5239824E-5, 1.946386, , , , , 
122, ABCA2, 5.406676E-5, 4.0038598E-5, 0.74053997, , , , , 
123, ABCA2, 1.0498678E-4, 5.87305E-5, 0.55940855, , , , , 
124, ABCA2, 3.3326865E-5, 2.0371464E-5, 0.61126256, , , , , 
125, ABCA3, 3.7045742E-5, 2.5301793E-5, 0.68298787, , , , , 
126, ABCA3, 2.5388492E-5, 2.6710459E-5, 1.0520695, , , , , 
127, ABCA3, 2.5102425E-5, 2.1075797E-5, 0.8395921, , , , , 
128, ABCA3, 1.3016072E-5, 6.60989E-6, 0.50782526, , , , , 
129, ABCA3, 6.808407E-5, 7.639299E-6, 0.11220392, , , , , 
130, ABCA3, 1.6427427E-4, 1.9791746E-4, 1.2047988, , , , , 
131, ABCA4, 3.0180123E-5, 2.4326564E-5, 0.8060459, , , , , 
132, ABCA4, 2.0739894E-6, 5.6184068E-5, 27.089853, , , , , 
133, ABCA4, 2.8463717E-5, 7.043326E-7, 0.024744926, , , , , 
134, ABCA4, 6.937137E-6, 4.567326E-5, 6.583877, , , , , 
135, ABCA4, 5.292249E-5, 5.125374E-5, 0.96846807, , , , , 
136, ABCA5, 4.53417E-5, 1.3869933E-5, 0.30589795, , , , , 
137, ABCA5, 6.400761E-5, 2.7685688E-5, 0.43253744, , , , , 
138, ABCA5, 3.089529E-5, 3.39705E-5, 1.0995365, , , , , 
139, ABCA5, 3.733181E-5, 2.4434921E-5, 0.6545335, , , , , 
140, ABCA5, 3.919125E-5, 1.804175E-5, 0.46035147, , , , , 
